chr1	10292381	10292382	424
chr1	10292382	10292383	426
chr1	10292383	10292385	427
chr1	10292385	10292386	428
chr1	10292386	10292387	433
chr1	10292387	10292388	437
chr1	10292388	10292389	444
chr1	10292389	10292390	445
chr1	10292390	10292391	448
chr1	10292391	10292393	449
chr1	10292393	10292394	447
chr1	10292394	10292395	446
chr1	10292395	10292396	447
chr1	10292396	10292397	455
chr1	10292397	10292398	460
chr1	10292398	10292399	463
chr1	10292399	10292401	465
chr1	10292401	10292402	466
chr1	10292402	10292403	458
chr1	10292403	10292404	457
chr1	10292404	10292405	453
chr1	10292405	10292407	454
chr1	10292407	10292408	452
chr1	10292408	10292409	447
chr1	10292409	10292411	450
chr1	10292411	10292412	456
chr1	10292412	10292413	445
chr1	10292413	10292414	444
chr1	10292414	10292415	439
chr1	10292415	10292416	442
chr1	10292416	10292417	441
chr1	10292417	10292418	436
chr1	10292418	10292420	431
chr1	10292420	10292421	429
chr1	10292421	10292422	420
chr1	10292422	10292423	416
chr1	10292423	10292424	425
chr1	10292424	10292425	422
chr1	10292425	10292426	420
chr1	10292426	10292427	418
chr1	10292427	10292429	428
chr1	10292429	10292430	432
chr1	10292430	10292431	437
chr1	10292431	10292432	425
chr1	10292432	10292433	421
chr1	10292433	10292434	419
chr1	10292434	10292436	427
chr1	10292436	10292437	424
chr1	10292437	10292438	429
chr1	10292438	10292439	428
chr1	10292439	10292440	419
chr1	10292440	10292442	416
chr1	10292442	10292443	415
chr1	10292443	10292445	414
chr1	10292445	10292446	422
chr1	10292446	10292447	423
chr1	10292447	10292448	427
chr1	10292448	10292449	421
chr1	10292449	10292450	422
chr1	10292450	10292451	423
chr1	10292451	10292452	422
chr1	10292452	10292453	421
chr1	10292453	10292454	418
chr1	10292454	10292455	413
chr1	10292455	10292456	417
chr1	10292456	10292457	412
chr1	10292457	10292458	428
chr1	10292458	10292459	430
chr1	10292459	10292460	429
chr1	10292460	10292461	428
chr1	10292461	10292462	423
chr1	10292462	10292463	428
chr1	10292463	10292464	427
chr1	10292464	10292465	429
chr1	10292465	10292466	424
chr1	10292466	10292468	427
chr1	10292468	10292469	431
chr1	10292469	10292470	433
chr1	10292470	10292471	436
